SN,Nama_Barang,Kode_Gudang,Deskripsi
48575443820F2EB2,ont huawey,DN/TRF-EMR/26/02132,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443820C38B2,ont huawey,DN/TRF-EMR/26/02132,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443821C96B2,ont huawey,DN/TRF-EMR/26/02132,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443821DACB2,ont huawey,DN/TRF-EMR/26/02132,HUAWEI-ONT HG8145V6 (DUAL BAND)
485754438211F8B2,ont huawey,DN/TRF-EMR/26/02132,HUAWEI-ONT HG8145V6 (DUAL BAND)
4857544382200DB2,ont huawey,DN/TRF-EMR/26/02132,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443820FE0B2,ont huawey,DN/TRF-EMR/26/02132,HUAWEI-ONT HG8145V6 (DUAL BAND)
4857544382112AB2,ont huawey,DN/TRF-EMR/26/02132,HUAWEI-ONT HG8145V6 (DUAL BAND)
ZTEGDC4AB6F3,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB6C2,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB805,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB811,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB6B6,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB6FD,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB732,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB70A,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB6F9,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB6FE,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB6D6,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB69C,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB736,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB6AA,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB698,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB697,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB73F,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB85A,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB7B6,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDC4AB6AB,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGD91EEBC8,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGDC4ACC84,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD91EEAAD,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A57F3,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGDC6C901E,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A54F3,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD913E2BC,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A39E6,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGDB1F8B6F,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGDC7292EC,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A6899,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A6DBA,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A774D,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD91EEBC0,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGDACAC853,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A66A6,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD913CDA1,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A4271,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A6EA3,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A3EE3,ont zte,DN/TRF-EMR/26/02623,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
48575443B46E4FB6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443B497C5B6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443B46DA9B6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443B47D9AB6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443B46BF1B6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443B481A6B6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443B484E9B6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443B48C9AB6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443B46D83B6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443B499F1B6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443B4661EB6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443B46CA3B6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443B46D98B6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
