Waktu Scan,Nama Teknisi,Serial Number (SN),Nama Barang,Kabel Precon,No WO / Keterangan,Status Pemasangan Sore,Keterangan Tambahan Sore,Stok Dipotong
2026-06-20 04:26:14,RAHMAN-FAJAR,ZTEGDD2AFE93,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-20 04:26:24,RAHMAN-FAJAR,ZTEGDD2AFEFE,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-20 04:26:30,RAHMAN-FAJAR,ZTEGDD2AFF4A,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-20 04:26:36,RAHMAN-FAJAR,4857544320DF5DAF,ont huawey,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-22 01:33:19,RIYAN-RIYADI,ZTEGDD2AFF1B,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-22 01:33:28,RIYAN-RIYADI,48575443319CC0AE,ont huawey,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-22 01:40:44,PUTRA-SONY,ZTEGDD2AFF65,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-22 01:40:53,PUTRA-SONY,48575443821FA0B2,ont huawey,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-22 01:41:05,PUTRA-SONY,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 125MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-22 01:41:05,PUTRA-SONY,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 125MTR,Roll 2,Belum Dilaporkan ⏳,-,Belum
2026-06-22 01:41:14,PUTRA-SONY,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 175MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-22 01:41:21,PUTRA-SONY,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 300MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-22 02:06:15,TEDI-DODI-DANIEL,ZTEGDD2B00FA,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-22 02:06:27,TEDI-DODI-DANIEL,ZTEGDD2AFF2B,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-22 02:06:42,TEDI-DODI-DANIEL,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 300MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-22 02:06:57,TEDI-DODI-DANIEL,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 175MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-22 02:06:57,TEDI-DODI-DANIEL,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 175MTR,Roll 2,Belum Dilaporkan ⏳,-,Belum
2026-06-22 02:07:08,TEDI-DODI-DANIEL,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 75MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-22 02:14:31,AGUS-FAJAR,48575443821B70B2,ont huawey,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-22 02:14:38,AGUS-FAJAR,4857544368A8E4AE,ont huawey,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:27:03,PUTRA-SONY,ZTEGD913C5B5,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:27:20,PUTRA-SONY,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 225MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:27:29,PUTRA-SONY,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 175MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:27:35,PUTRA-SONY,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 125MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:28:48,RIYAN-RIYADI,ZTEGDB1452C3,ont zte,-,-,Sudah Terinstal ✅,-,Belum
2026-06-24 02:28:56,RIYAN-RIYADI,ZTEGDB146B39,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:29:01,RIYAN-RIYADI,485754438216C4B2,ont huawey,-,-,Sudah Terinstal ✅,-,Belum
2026-06-24 02:29:13,RIYAN-RIYADI,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 125MTR,Roll 1,Sudah Terinstal ✅,-,Belum
2026-06-24 02:29:20,RIYAN-RIYADI,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 300MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:29:35,NADI-PARI,ZTEGDDB0CACF,ont zte,-,-,Sudah Terinstal ✅,-,Belum
2026-06-24 02:29:42,NADI-PARI,ZTEGD82A3E17,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:29:48,NADI-PARI,48575443DAFC8FB1,ont huawey,-,-,Sudah Terinstal ✅,-,Belum
2026-06-24 02:29:57,RIYAN-RIYADI,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 300MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:30:06,RIYAN-RIYADI,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 225MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:30:06,RIYAN-RIYADI,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 225MTR,Roll 2,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:30:15,RIYAN-RIYADI,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 175MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:30:32,NOVANS-GOBY,ZTEGDB14519C,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:30:46,NOVANS-GOBY,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 125MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:31:00,PERI-ROBIN,ZTEGD82A5ED7,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:31:05,PERI-ROBIN,ZTEGD913CCC5,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:31:18,PERI-ROBIN,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 225MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:31:18,PERI-ROBIN,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 225MTR,Roll 2,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:31:18,PERI-ROBIN,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 225MTR,Roll 3,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:31:34,TEDI-DODI-DANIEL,ZTEGD91EEC07,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:31:39,TEDI-DODI-DANIEL,ZTEGD82A6E44,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:31:52,TEDI-DODI-DANIEL,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 175MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
